nom,web,activitat,constitucio,twitter,facebook,email
Deutschland,www.anc-deutschland.cat,True,True,anc_de,www.facebook.com/anc.deutschland,info@anc-deutschland.cat
Andorra,,True,True,,,andorra@assemblea.cat
England,,True,True,ancengland,https://www.facebook.com/ancengland,england@assemblea.cat
Argentina,,True,True,,https://www.facebook.com/anc.argentina,assemblea.argentina@gmail.com
Australia,,True,True,ANC_Australia,https://www.facebook.com/catalanassemblyAustralia,ancaustralia@gmail.com
Österreich,,True,True,,https://www.facebook.com/ancaustria,ancaustria@gmail.com
Belgique/België,http://ancbru.cat/,True,True,ancbru, https://www.facebook.com/AncBru,anc.bru@gmail.com
Brasil,,True,False,,https://www.facebook.com/AssembleaBrasil,brazilcatalanassembly@outlook.com
Danmark,,True,True,,,laiasn@gmail.com
El Salvador,,True,True,ANCElSalvador,https://www.facebook.com/ANCElSalvador,assemblea.elsalvador@gmail.com
Ecuador,,True,True,ANC_Equador,https://www.facebook.com/ancequador,equador@assemblea.cat
Scotland,http://ancescocia.wordpress.com,True,True,anc_scotland,https://www.facebook.com/pages/Assemblea-Nacional-Catalana-Scotland/124220277785374?fref=ts,ancescocia@gmail.com
United States,http://usa.catalanassembly.org,True,True,,https://www.facebook.com/CatalanAssemblyUsa?fref=ts,usa.catalanassembly@gmail.com
France,,True,True,,,info.ancfrance@gmail.com 
Hong Kong,https://sites.google.com/site/assembleahongkong/,True,True,anchongkong,https://www.facebook.com/anchongkong,hongkong@assemblea.cat
Ireland/Eire,http://irlandaperlaindependencia.blogspot.ie/,True,True,anc_ireland,"""https://www.facebook.com/IrlandaPerLaIndependenciaDeCatalunya  """,irlandadecideix@gmail.com
Yisrael,,True,True,,,israel@assemblea.cat
Italia,,True,False,,,assemblea.italia@gmail.com
Luxembourg,,True,True,,https://www.facebook.com/pages/Assemblea-Nacional-Catalana-a-Luxemburg/166405323546859,anc-luxemburg@outlook.com
México,,True,True,ancmexic,https://www.facebook.com/ANCMexic,ANC.Mexic@gmail.com
Euskal Herria,,True,True,,,anceuskadi@gmail.com
Nederland,,True,True,,https://www.facebook.com/AncPaisosBaixos,ancpaisosbaixos@gmail.com
Polska,,True,True,anc_polska,www.facebook.com/ANC.Polonia,polska@assemblea.cat
Portugal,,False,False,,,none@none
Quebec,,True,True,,,quebec@assemblea.cat
República Dominicana,,True,True,,,none@none
Sverige,,True,False,,https://www.facebook.com/pages/ANC-Su%C3%A8cia/185905204952796,ancsuecia@gmail.com
Schweiz/Suisse/Svizzera/Svizra,,True,True,ancSuisse ,https://www.facebook.com/pages/Assemblea-Nacional-Catalana-Su%C3%AFssa/136709989716673,ancsuissa@gmail.com
Prathet Thai,,True,False,,,anctailandia@gmail.com
Chile,http://www.ancxile.cat/,True,True,ANCXile,http://www.facebook.com/anc.xile,contacte@ancxile.cat
Zhongguó,,True,False,,,guillem999@gmail.com
