nom,nom_en,web,activitat,constitucio,twitter,facebook,email,nom_ca
Deutschland,Germany,www.anc-deutschland.cat,True,True,anc_de,www.facebook.com/anc.deutschland,info@anc-deutschland.cat,Alemanya
Andorra,Andorra,,True,True,,,andorra@assemblea.cat,Andorra
England,England,,True,True,ancengland,https://www.facebook.com/ancengland,england@assemblea.cat,Anglaterra
Argentina,Argentina,,True,True,,https://www.facebook.com/anc.argentina,assemblea.argentina@gmail.com,Argentina
Australia,Australia,,True,True,ANC_Australia,https://www.facebook.com/catalanassemblyAustralia,ancaustralia@gmail.com,Austràlia
Österreich,Austria,,True,True,,https://www.facebook.com/ancaustria,ancaustria@gmail.com,Àustria
Belgique/België,Belgium,http://ancbru.cat/,True,True,ancbru, https://www.facebook.com/AncBru,anc.bru@gmail.com,Bèlgica
Danmark,Denmark,,True,True,,,laiasn@gmail.com,Dinamarca
El Salvador,El Salvador,,True,True,ANCElSalvador,https://www.facebook.com/ANCElSalvador,assemblea.elsalvador@gmail.com,El Salvador
Ecuador,Ecuador,,True,True,ANC_Equador,https://www.facebook.com/ancequador,equador@assemblea.cat,Equador
Scotland,Scotland,http://ancescocia.wordpress.com,True,True,anc_scotland,https://www.facebook.com/pages/Assemblea-Nacional-Catalana-Scotland/124220277785374?fref=ts,ancescocia@gmail.com,Escòcia
United States,United States,http://usa.catalanassembly.org,True,True,,https://www.facebook.com/CatalanAssemblyUsa?fref=ts,usa.catalanassembly@gmail.com,Estats Units
France,France,,True,True,,,info.ancfrance@gmail.com ,França
Hong Kong,Hong Kong,https://sites.google.com/site/assembleahongkong/,True,True,anchongkong,https://www.facebook.com/anchongkong,hongkong@assemblea.cat,Hong Kong
Ireland/Eire,Ireland,http://irlandaperlaindependencia.blogspot.ie/,True,True,anc_ireland,"""https://www.facebook.com/IrlandaPerLaIndependenciaDeCatalunya  """,irlandadecideix@gmail.com,Irlanda
Yisrael,Israel,,True,True,,,israel@assemblea.cat,Israel
Luxembourg,Luxembourg,,True,True,,https://www.facebook.com/pages/Assemblea-Nacional-Catalana-a-Luxemburg/166405323546859,anc-luxemburg@outlook.com,Luxemburg
México,Mexico,,True,True,ancmexic,https://www.facebook.com/ANCMexic,ANC.Mexic@gmail.com,Mèxic
Euskal Herria,Basque Country,,True,True,,,anceuskadi@gmail.com,País Basc
Nederland,Netherlands,,True,True,,https://www.facebook.com/AncPaisosBaixos,ancpaisosbaixos@gmail.com,Països Baixos
Polska,Poland,,True,True,anc_polska,www.facebook.com/ANC.Polonia,polska@assemblea.cat,Polònia
Quebec,Quebec,,True,True,,,quebec@assemblea.cat,Quebec
República Dominicana,Dominican Republic,,True,True,,,none@none,República Dominicana
Schweiz/Suisse/Svizzera/Svizra,Switzerland,,True,True,ancSuisse ,https://www.facebook.com/pages/Assemblea-Nacional-Catalana-Su%C3%AFssa/136709989716673,ancsuissa@gmail.com,Suïssa
Chile,Chile,http://www.ancxile.cat/,True,True,ANCXile,http://www.facebook.com/anc.xile,contacte@ancxile.cat,Xile
